BFS,Belfast International Airport,United Kingdom,-6.215830,54.657501,268
BGA,Bucaramanga Palonegro International Airport,Colombia,-73.184998,7.126944,3902
BGI,Bridgetown Grantley Adams International Airport,Barbados,-59.492401,13.074600,169
BGM,Greater Binghamton Airport,United States,-75.979698,42.208611,1636
BGO,Bergen Flesland Airport,Norway,5.218142,60.293381,170
BGR,Bangor International Airport,United States,-68.828102,44.807442,192
BGW,Baghdad International Airport,Iraq,44.234444,33.262501,114
BGY,Milan Bergamo Il Caravaggio International Airport,Italy,9.704166,45.673882,782
BHD,Belfast City George Best  Airport,United Kingdom,-5.872500,54.618050,15
BHE,Blenheim Woodbourne Airport,New Zealand,173.870193,-41.518299,109
BHI,Bahia Blanca Comandante Espora Airport,Argentina,-62.169300,-38.724899,246
BHJ,Bhuj Airport,India,69.670143,23.287821,268
BHM,Birmingham Shuttlesworth International Airport,United States,-86.752296,33.563881,650
BHO,Bhopal Raja Bhoj Airport,India,77.337372,23.287460,1719
BHQ,Broken Hill Airport,Australia,141.468567,-31.998983,958
BHS,Bathurst Airport,Australia,149.649994,-33.400002,2435
BHX,Birmingham Airport,United Kingdom,-1.748020,52.453850,327
BHY,Beihai Fucheng Airport,China,109.293800,21.539440,10499
BIA,Bastia Poretta Airport,France,9.484722,42.549999,26
BIL,Billings Logan International Airport,United States,-108.542000,45.807659,3652
BIO,Bilbao Airport,Spain,-2.910600,43.301090,138
BIQ,Biarritz Anglet Bayonne Airport,France,-1.531110,43.468330,245
BIS,Bismarck Municipal Airport,United States,-100.758209,46.774479,1661
BJA,Bejaia Soummam Airport,Algeria,5.069922,36.711990,20
BJL,Banjul International Airport,Gambia,-16.652201,13.337960,95
BJM,Bujumbura International Airport,Burundi,29.318510,-3.324010,2582
BJV,Bodrum Milas Airport,Turkey,27.664310,37.250610,21
BJX,Silao Del Bajio International Airport,Mexico,-101.480003,20.993460,5956
BKI,Kota Kinabalu International Airport,Malaysia,116.051102,5.937208,10
BKK,Bangkok Suvarnabhumi Airport,Thailand,100.747200,13.681100,5
BKS,Bengkulu Fatmawati Soekarno Airport,Indonesia,102.338997,-3.863700,50
BLE,Borlange Dala Airport,Sweden,15.515210,60.422009,503
BLI,Bellingham International Airport,United States,-122.537003,48.792690,170
BLL,Billund Airport,Denmark,9.151778,55.740318,247
BLQ,Bologna Guglielmo Marconi Airport,Italy,11.288660,44.535439,123
BLR,Bangalore Kempegowda International Airport,India,77.705559,13.198889,3002
BMA,Stockholm Bromma Airport,Sweden,17.941650,59.354370,47
BME,Broome International Airport,Australia,122.231598,-17.944700,56
BMI,Bloomington Central Illinois Regional Airport,United States,-88.915901,40.477112,871
BMU,Bima Sultan Muhammad Salahudin Airport,Indonesia,118.687302,-8.539640,3
BNA,Nashville International Airport,United States,-86.678101,36.124470,599
BND,Bandar Abbas International Airport,Iran,56.377850,27.218309,22
BNE,Brisbane Airport,Australia,153.117493,-27.384100,13
BNK,Ballina Byron Gateway Airport,Australia,153.562500,-28.833799,7
BNX,Banja Luka International Airport,Bosnia And Herzegovina,17.297501,44.941441,400
BOD,Bordeaux Merignac Airport,France,-0.715270,44.828609,166
BOG,Bogota El Dorado International Airport,Colombia,-74.138298,4.703056,8361
BOH,Bournemouth Airport,United Kingdom,-1.842500,50.779999,38
BOI,Boise Airport,United States,-116.222000,43.564362,2871
BOJ,Burgas Airport,Bulgaria,27.515230,42.569580,135
BOM,Mumbai Chhatrapati Shivaji International Airport,India,72.867912,19.088680,37
BON,Bonaire Flamingo International Airport,Netherlands,-68.268501,12.131040,20
BOO,Bodo Airport,Norway,14.365270,67.269157,42
BOS,Boston Logan International Airport,United States,-71.006401,42.362968,20
BPN,Balikpapan Sepinggan Airport,Indonesia,116.894402,-1.268270,12
BPS,Porto Seguro Airport,Brazil,-39.080898,-16.438601,168
BQB,Busselton Regional Airport,Australia,115.250000,-33.709999,-1
BQH,London Biggin Hill Airport,United Kingdom,0.032500,51.330830,598
BQN,Aguadilla Rafael Hernandez Airport,Puerto Rico,-67.129402,18.494860,237
BQS,Blagoveshchensk Ignatyevo Airport,Russia,127.412399,50.425388,638
BRC,San Carlos de Bariloche Airport,Argentina,-71.157501,-41.151100,2776
BRE,Bremen Airport,Germany,8.786667,53.047501,14
BRI,Bari Airport,Italy,16.760590,41.138851,177
BRM,Barquisimeto Jacinto Lara International Airport,Venezuela,-69.358597,10.042740,2042
BRN,Bern Airport,Switzerland,7.497153,46.914101,1674
BRO,Brownsville South Padre Island International Airport,United States,-97.425797,25.906830,22
BRQ,Brno Turany Airport,Czech Republic,16.694429,49.151260,778
BRS,Bristol Airport,United Kingdom,-2.719080,51.382660,622
BRU,Brussels Airport,Belgium,4.484444,50.901379,184
BRW,Barrow Airport,United States,-156.766006,71.285439,52
BRX,Barahona Maria Montez International Airport,Dominican Republic,-71.120399,18.251459,10
BSB,Brasilia International Airport,Brazil,-47.918598,-15.871100,3479
BSL,Basel Mulhouse-Freiburg EuroAirport,France,7.528300,47.598900,885
BSR,Basra International Airport,Iraq,47.662140,30.549061,11
BTH,Batam Hang Nadim Airport,Indonesia,104.118698,1.121028,126
BTJ,Banda Aceh International Airport,Indonesia,95.420372,5.523522,65
BTK,Bratsk Airport,Russia,101.698303,56.370548,1610
BTR,Baton Rouge Metropolitan Airport,United States,-91.149803,30.532900,70
BTS,Bratislava M. R. Stefanik Airport,Slovakia,17.212660,48.170158,436
BTU,Bintulu Airport,Malaysia,113.020401,3.123850,74
BTV,Burlington International Airport,United States,-73.153198,44.471859,335
BUD,Budapest Ferenc Liszt International Airport,Hungary,19.255590,47.436932,495
BUF,Buffalo Niagara International Airport,United States,-78.732101,42.940521,727
BUR,Burbank Bob Hope Airport,United States,-118.358002,34.200661,778
BUS,Batumi International Airport,Georgia,41.599689,41.610271,105
BUZ,Bushehr Airport,Iran,50.834629,28.944811,68
BVA,Paris Beauvais-Tille Airport,France,2.112778,49.454441,359
BVB,Boa Vista International Airport,Brazil,-60.689999,2.846311,276
BVC,Boa Vista Rabil Airport,Cape Verde,-22.888800,16.136530,69
BVE,Brive Souillac Airport,France,1.474364,45.149578,1016
BWE,Braunschweig Airport,Germany,10.556110,52.319160,295
BWI,Baltimore Washington International Airport,United States,-76.668297,39.175362,146
BWN,Brunei International Airport,Brunei,114.928299,4.944200,73
BWT,Burnie Airport,Australia,145.731110,-40.998890,62
BXU,Butuan Bancasi Airport,Philippines,125.477898,8.951322,141
BZE,Belize City Philip S. W. Goldson International Airport,Belize,-88.308197,17.539141,15
BZG,Bydgoszcz Ignacy Jan Paderewski Airport,Poland,17.977659,53.096802,235
BZK,Bryansk International Airport,Russia,34.176441,53.214191,663
BZN,Bozeman Yellowstone International Airport,United States,-111.152000,45.777458,4473
BZO,Bolzano Airport,Italy,11.326380,46.460190,789
BZR,Beziers Cap d'Agde Airport,France,3.353397,43.323421,56
BZV,Brazzaville Maya Maya Airport,Congo,15.253030,-4.251700,1048
BZZ,RAF Brize Norton,United Kingdom,-1.583610,51.749962,288
CAC,Cascavel Adalberto Mendes da Silva Airport,Brazil,-53.500702,-25.000299,2473
CAE,Columbia Metropolitan Airport,United States,-81.119499,33.938831,236
CAG,Cagliari Elmas Airport,Italy,9.054283,39.251461,13
CAI,Cairo International Airport,Egypt,31.405550,30.121941,382
CAK,Akron Canton Airport,United States,-81.442101,40.916080,1225
CAN,Guangzhou Baiyun International Airport,China,113.298698,23.392429,50
CAY,Cayenne Felix Eboue Airport,French Guiana,-52.361900,4.819722,26
CBB,Cochabamba Jorge Wilstermann International Airport,Bolivia,-66.177101,-17.421000,8360
CBG,Cambridge Airport,United Kingdom,0.175000,52.205002,47
CBR,Canberra International Airport,Australia,149.195007,-35.306900,1886
CCC,Cayo Coco Jardines del Rey Airport,Cuba,-78.510902,22.513220,6
CCF,Carcassonne Airport,France,2.308544,43.215809,433
CCJ,Kozhikode Calicut International Airport,India,75.955299,11.136830,342
CCK,Cocos Islands Airport,Cocos (Keeling) Islands,96.916664,-12.166667,10
CCP,Concepcion Carriel Sur International Airport,Chile,-73.063103,-36.772598,26
CCS,Caracas Simon Bolivar International Airport,Venezuela,-66.990501,10.603110,235
CCU,Kolkata International Airport,India,88.446716,22.654730,16
CDB,Cold Bay Airport,United States,-162.725006,55.206059,102
CDG,Paris Charles de Gaulle Airport,France,2.547778,49.009720,392
CEB,Cebu Mactan International Airport,Philippines,123.979401,10.307540,31
CEE,Cherepovets Airport,Russia,38.028332,59.276669,377
CEI,Chiang Rai International Airport,Thailand,99.882919,19.952339,1280
CEK,Chelyabinsk Airport,Russia,61.503330,55.305828,769
CEN,Ciudad Obregon International Airport,Mexico,-109.833000,27.392630,205
CFB,Cabo Frio International Airport,Brazil,-42.070000,-22.920000,14
CFE,Clermont-Ferrand Auvergne Airport,France,3.162500,45.785831,1090
CFN,Donegal Airport,Ireland,-8.341000,55.044189,30
CFR,Caen Carpiquet Airport,France,-0.449870,49.173279,256
CFS,Coffs Harbour Airport,Australia,153.116302,-30.320499,18
CFU,Corfu International Airport,Greece,19.911659,39.601940,6
CGB,Cuiaba Marechal Rondon International Airport,Brazil,-56.116699,-15.652900,617
CGH,Sao Paulo Congonhas Airport,Brazil,-46.655300,-23.626600,2631
CGK,Jakarta Soekarno Hatta International Airport,Indonesia,106.655800,-6.125560,34
CGN,Cologne Bonn Airport,Germany,7.143000,50.866001,302
CGO,Zhengzhou Xinzheng International Airport,China,113.840797,34.519669,495
CGP,Chittagong Shah Amanat International Airport,Bangladesh,91.813278,22.249611,12
